Palce_State,Place_District,Place_City,Place_Name,Place_Rating,Place_Category,Place_Address,Place_GPS_Code,Place_Description,Place_Map_Link,Place_Photo,Unnamed: 11
Maharashtra,Ratnagiri,Ratnagiri,Thiba Point,4.3,Park,"Rajiwada, Ratnagiri, Maharashtra 415612","16.98496295360144, 73.3057092012015",Open-air regional history museum,https://www.google.com/maps/place/Thiba+Point/data=!4m5!3m4!1s0x3bea0d3eaca7372b:0xcc4672ae87849bea!8m2!3d16.9850194!4d73.305559?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNFGkYMg_pRzENd50yIRm0SrbbBV5FpZUFAUjuQ=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ratnagiri Light House,4.5,Tourist attraction,"X7QF+42C, Bhagwati Fort And Light House, Ratnagiri, Maharashtra 415612","16.987860722183918, 73.27251979749225",-,https://www.google.com/maps/place/Ratnagiri+Light+House/data=!4m5!3m4!1s0x3bea12a1d8b73229:0x73de13fe689c438c!8m2!3d16.9878043!4d73.2725198?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNthAOgnONizmNlKcKH6Dl5HDNgtgJ4FBco6RVa=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ganapatipule Temple,4.9,Temple,"47V8+XFP, Ganpatipule, Maharashtra 415615","17.144992470458433, 73.26619283982164",Temple dedicated to Lord Ganapati,https://www.google.com/maps/place/Ganapatipule+Temple/data=!4m5!3m4!1s0x3bea11e8b02e8eeb:0xedaf0f64cfa53f5f!8m2!3d17.1449566!4d73.2662143?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMdELhZm2pnauO8k4_BS7AcYirTLzwACgYPnIwo=w143-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Nivendi waterfall,4.4,Tourist attraction,"5856+X9H, Nivendi, Maharashtra 415615","17.159973867553752, 73.31101045516738",-,https://www.google.com/maps/place/Nivendi+waterfall/data=!4m5!3m4!1s0x3bea05e9d901ab47:0x9058bd617b91482e!8m2!3d17.159938!4d73.310989?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPkwO6S7Tgt6cbpSiwGbxI_TwcTFcuBJ0i7LbXD=w80-h142-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Shree Devi Bhagavati Temple,4.6,Temple,"X7WC+H63, Bhagwati Fort And Light House, Ratnagiri, Maharashtra 415612","16.99640427866508, 73.27055559749233",-,https://www.google.com/maps/place/Shree+Devi+Bhagavati+Temple/data=!4m5!3m4!1s0x3bea129b7fcad9cf:0xa071a12827b9f1f!8m2!3d16.9963889!4d73.2705556?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipN3spTPuVG6eq9G5w4oi_CHINIO3L7tYazjRXGd=w80-h106-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ganeshwadi Dam,4.1,Tourist attraction,"58X7+R3C, Kalzondi, Maharashtra 415620","17.19962895604712, 73.3126144398224",-,https://www.google.com/maps/place/Ganeshwadi+Dam/data=!4m5!3m4!1s0x3bea04fd2f54ed45:0x6de64cd600763154!8m2!3d17.1995521!4d73.3126359?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNsceYfkhb9sK8Ie_9Ym239WJk8adf-apS8Xmx-=w153-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Advika Beach,4.4,Beach,"476G+XX9, Ratnagiri, Maharashtra","17.112462484482208, 73.27749839749391",-,https://www.google.com/maps/place/Advika+Beach/data=!4m5!3m4!1s0x3bea0fd7c3ad9787:0x82b5e5047d064960!8m2!3d17.1124061!4d73.2774984?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP9_3ts0OCOVz1j6W9D6hTmdoMUg-qIECL6mw9Y=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Paglapur,4.4,Tourist attraction,"Khalchi Galli, Karle Village, Ratnagiri, Maharashtra 415612","16.97146060392535, 73.30774559749193",-,https://www.google.com/maps/place/Paglapur/data=!4m5!3m4!1s0x3bea0d05d3eb947b:0x63694cc4f726faf6!8m2!3d16.9714247!4d73.3077456?authuser=0&hl=en&rclk=1,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Thiba Palace,4,Museum,"X8M6+9JR, Abhyudhya Nagar, Ratnagiri, Maharashtra 415612","16.983517001610938, 73.31150066865582",Burmese-style royal residence from 1910,https://www.google.com/maps/place/Thiba+Palace/data=!4m5!3m4!1s0x3bea0d3b3095a6bd:0xbbc43b105b654060!8m2!3d16.9834811!4d73.3115114?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipN6arP0Ta2vDXLTpmc1mRGMNEJG8C7XkSuoLAuy=w163-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Guhagar beach.,4.6,Beach,"F5PP+4CJ, Guhagar, Maharashtra 415703","17.485413836238127, 73.18600883982639",-,https://www.google.com/maps/place/Guhagar+beach./data=!4m5!3m4!1s0x3be9f1f62c786fb3:0xeab8fdc91e947982!8m2!3d17.4853371!4d73.1860303?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP1IAIsVMOi6TCeb7WOnzR89j5sl23ADuWnDlrd=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Mirya beach,4.4,Beach,"Mirya Rd, Kalbadevi, Maharashtra 415612","17.023566193910977, 73.27556209749278",-,https://www.google.com/maps/place/Mirya+beach/data=!4m5!3m4!1s0x3bea13c5da37dd83:0x3592b95b6f850e3d!8m2!3d17.0235303!4d73.2755621?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNM-YQhmOGlpO1ir8VPLc1glqHZrTkBReArx4s=w163-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,"The Sunset Point, Varavade",5,Tourist attraction,"56RV+Q24, Kharviwada, Maharashtra 415620","17.191898462406545, 73.24257129749502",-,"https://www.google.com/maps/place/The+Sunset+Point,+Varavade/data=!4m5!3m4!1s0x3bea1b508adcd4af:0x253d3c42025516c1!8m2!3d17.1918831!4d73.2425713?authuser=0&hl=en&rclk=1",https://lh5.googleusercontent.com/p/AF1QipPxSG8MPaf9jLKd0TOpVx5FoEIHqgVv5h-IR2cC=w80-h106-k-no,
Maharashtra,Ratnagiri,Ratnagiri,"Ganpati VIshrajan ,Pimpalacha Dovh",4.4,Tourist attraction,"9GP2+QJ3, Mandki Kh., Maharashtra 415606","17.386952500487652, 73.5015268686614",-,"https://www.google.com/maps/place/Ganpati+VIshrajan+,Pimpalacha+Dovh/data=!4m5!3m4!1s0x3bc201f766c0040f:0xd2191e66a06bbf8c!8m2!3d17.3868962!4d73.5015376?authuser=0&hl=en&rclk=1",https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Patils fish world aquarium,3.4,Aquarium,"kailash road road, Malgund, Ganpatipule, Maharashtra 415615","17.164794717593033, 73.26885632633102",-,https://www.google.com/maps/place/Patils+fish+world+aquarium/data=!4m5!3m4!1s0x3bea1ab134b2bcf7:0x2d619780f1db7a37!8m2!3d17.1647486!4d73.2688456?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNjPTfYWdq0iEHfb8XkGzvm0zSvMUCjRhk0SgDA=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,VARAVDE Beach,4.4,Beach,"662V+258, Waravade, Maharashtra 415614","17.200095606829535, 73.24296859749515",-,https://www.google.com/maps/place/VARAVDE+Beach/data=!4m5!3m4!1s0x3bea1b84c94812cd:0x6d13fb98c5d0313e!8m2!3d17.200029!4d73.2429686?authuser=0&hl=en&rclk=1,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Camel Ride,4,Tourist attraction,"47V8+JGH, Ganpatipule, Maharashtra 415615","17.144127474858593, 73.26633563982162",Open-air regional history museum,https://www.google.com/maps/place/Camel+Ride/data=!4m5!3m4!1s0x3bea11f7de9f8511:0x30fa790d8f0f2bec!8m2!3d17.1440711!4d73.2663571?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMcG2cPKphjJ6Q8TFdYDU5FyI51iPXV8vz_wL6v=w80-h142-k-no,
Maharashtra,Ratnagiri,Ratnagiri,"Shree Vyadeshwar Mandir, Guhagar",4.6,Temple,"Guhagar Road, Guhagar, Maharashtra 415703","17.48379097054661, 73.19019676866279",-,"https://www.google.com/maps/place/Shree+Vyadeshwar+Mandir,+Guhagar/data=!4m5!3m4!1s0x3be9f18cce03928b:0xd9b404f6adb4d3cb!8m2!3d17.4837347!4d73.1902075?authuser=0&hl=en&rclk=1",https://lh5.googleusercontent.com/p/AF1QipPFjVZlWf2Ak8VN7G9uUqQCV5gjyq4mUC8NTDQX=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,"Devghali Beach, Kasheli",4.7,Beach,"P8G6+P2G, Kasheli, Maharashtra 416707","16.726828475668317, 73.31007746865232",Temple dedicated to Lord Ganapati,"https://www.google.com/maps/place/Devghali+Beach,+Kasheli/data=!4m5!3m4!1s0x3bea7b40aa30750f:0xe6f8f32900c26388!8m2!3d16.7268028!4d73.3100882?authuser=0&hl=en&rclk=1",https://lh5.googleusercontent.com/p/AF1QipOPB2sC0Nl6jMADQDmiPQ1BVPkHiDMBl9tEXADb=w138-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ratnagiri Sea Site Seeing Location,4.4,Tourist information center,"MH SH4, Rajwadi, Ganpatipule, Maharashtra 415615","17.15024392121882, 73.27151053982178",-,https://www.google.com/maps/place/Ratnagiri+Sea+Site+Seeing+Location/data=!4m5!3m4!1s0x3bea1b9be809586d:0x28e1183f900e8af8!8m2!3d17.1501978!4d73.271532?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNTzf0y7pHFiVFAIKQYTS6I56BDNl0IfiqhqyTu=w163-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ganpati Pule,4.8,Temple,"47XF+G3W, Rajwadi, Ganpatipule, Maharashtra 415615","17.1489226733997, 73.27269459749442",-,https://www.google.com/maps/place/Ganpati+Pule/data=!4m5!3m4!1s0x3bea1bd0ad0782b7:0x3a86d40d32e4eb7a!8m2!3d17.1488663!4d73.2726946?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipP6DV-XKIbFw2s1MASKsS_7ZFWbmNAol1kLDKwg=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ksb Water Park Ganpatipule Ratnagiri,3.5,Water park,"Deluxe Krishna Sea View, Ganpatipule, Maharashtra 415615","17.143595970729162, 73.27504095516716",-,https://www.google.com/maps/place/Ksb+Water+Park+Ganpatipule+Ratnagiri/data=!4m5!3m4!1s0x3bea110d356da2e7:0x1aee056add9c9797!8m2!3d17.1435601!4d73.2750195?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipNqqwK_ckJedT_x6C2AyxCEiutElasDNxqdEv3r=w80-h106-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Shree Lakshmikeshav Devasthan Trust,4.8,Tourist attraction,"Shree Dev Lakshmi Keshav Mandir, Kolisare, Maharashtra 415620","17.23339234199202, 73.32440962633207",-,https://www.google.com/maps/place/Shree+Lakshmikeshav+Devasthan+Trust/data=!4m5!3m4!1s0x3bea047d5b26bc45:0x9e71bdea03603704!8m2!3d17.2333155!4d73.3243989?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOmJDOdJ8Nd13bGjpwOSbfERpeQndFYcWtP6xuM=w163-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Gaywadi Beach,4.7,Beach,"Rod, Malgund, Ganpatipule, Maharashtra 415620","17.166005917291084, 73.26621589749476",-,https://www.google.com/maps/place/Gaywadi+Beach/data=!4m5!3m4!1s0x3bea1add398c2e63:0xb39aba0406566e87!8m2!3d17.1659598!4d73.2662159?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipOLUBGcfaqAxtMmnYsGp4IYQ_bUMlH8pZr7czGt=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,"Kavi Keshvsut Smarak, Malgund",4.3,Museum,"5779+F49, Bhandarwada, Ganpatipule, Maharashtra 415615","17.16384678123002, 73.26788961284015",-,"https://www.google.com/maps/place/Kavi+Keshvsut+Smarak,+Malgund/data=!4m5!3m4!1s0x3bea1ab12720eed5:0x325bb190cd877f15!8m2!3d17.1636674!4d73.2678467?authuser=0&hl=en&rclk=1",https://lh5.googleusercontent.com/p/AF1QipPz8Cqz1AGzi-X6MhZLTlfYoJueV0xQx9KYS14=w137-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Sunset Point near Bhandarwada,5,Tourist attraction,"47GC+8C, Bhandarwada, Maharashtra 415615","17.125810480427518, 73.27108049749413",-,https://www.google.com/maps/place/Sunset+Point+near+Bhandarwada/data=!4m5!3m4!1s0x3bea112949237915:0x762bf9452349357e!8m2!3d17.1257541!4d73.2710805?authuser=0&hl=en&rclk=1,https://maps.gstatic.com/tactile/pane/result-no-thumbnail-2x.png,
Maharashtra,Ratnagiri,Ratnagiri,Wax museum,3.2,Museum,"47VC+5RC, Ganpatipule, Maharashtra 415615","17.14299202302479, 73.27197268214883",-,https://www.google.com/maps/place/Wax+museum/data=!4m5!3m4!1s0x3bea11e86157f2c1:0xba6c59af1b3c6b6!8m2!3d17.1429459!4d73.2720156?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipM46U98HXfr4bXMg-YzNT8P5xOgnkch0WgE7eAI=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Aare Ware Beach.,4.6,Beach,"MDR 37, Ratnagiri-Ganpati Pule Highway, Basni, Ratnagiri-Ganpati Pule Hwy, Basni, Maharashtra 415629","17.077378311337, 73.28990202781861",-,https://www.google.com/maps/place/Aare+Ware+Beach./data=!4m5!3m4!1s0x3bea0e176d7353e9:0x43a7625cfa6a64d9!8m2!3d17.0770922!4d73.2896447?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipM8a-ZWZdlSd2bPezheLqFtnOCKL_vLFZmMeMOx=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Gateway Of Ratnagiri,4.5,Tourist attraction,"Arabian Sea, Mandvi, Ratnagiri, Maharashtra 415612","16.989502421688872, 73.28512115516507",-,https://www.google.com/maps/place/Gateway+Of+Ratnagiri/data=!4m5!3m4!1s0x3bea0d6762a16f99:0x6288935d0f8c8c24!8m2!3d16.989446!4d73.2850997?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPKfpONS8EJeEXGUGKffeO2DGIIovjpUVvZEtA=w199-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Nihant's farm,5,Park,"Mahadik house, Marathwadi Rd, Maharashtra 415620","17.183690413021395, 73.2873904974949",-,https://www.google.com/maps/place/Nihant's+farm/data=!4m5!3m4!1s0x3bea05f0093051c5:0xd9416ef9907c3dfe!8m2!3d17.1836648!4d73.2873905?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPZTS30l7sykoZffSNeFi4PJY6rWJkzZMxI8YgJ=w163-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Chandikadevi Temple,4.5,Temple,"47XC+VPR, Rajwadi, Ganpatipule, Maharashtra 415615","17.149769769532472, 73.2717686974945",-,https://www.google.com/maps/place/Chandikadevi+Temple/data=!4m5!3m4!1s0x3bea1aaa6f1b4813:0xcbf3bf32e4d1f74c!8m2!3d17.1497339!4d73.2717687?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMHd5GdapGxlup7AjLy-I7VohgjpUlntpCojdAH=w80-h106-k-no,
Maharashtra,Ratnagiri,Ratnagiri,The temple of Lord Ganapathi,4.9,Temple,"47V8+QGQ, Ganpatipule, Maharashtra 415615","17.14452967892657, 73.26633943982169",-,https://www.google.com/maps/place/The+temple+of+Lord+Ganapathi/data=!4m5!3m4!1s0x3bea11f4719881bd:0x73462447abe4b764!8m2!3d17.1444528!4d73.2663609?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMGNl-cCclbkOHKxH4TKvu2jzzI5gQR2T5rIARI=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Malgund Beach,4.6,Beach,Maharashtra,"17.18121782608504, 73.2548068580989",This scenic stretch of sandy beach offers a tranquil environment for walks & relaxation.,https://www.google.com/maps/place/Malgund+Beach/data=!4m5!3m4!1s0x3bea1add2d901c2f:0xa0a01214416782a9!8m2!3d17.1810725!4d73.2547894?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMDHcvd7wSbjhBrrcRq6QW_8AjB4sr4b4gs11rO=w125-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Ganeshgule Beach,4.6,Beach,"V78V+QFV, Thikan Soman, Maharashtra 415616","16.867023691199712, 73.29367569749053",-,https://www.google.com/maps/place/Ganeshgule+Beach/data=!4m5!3m4!1s0x3bea71f178f88495:0x135c42c1d3cd3189!8m2!3d16.8669775!4d73.2936757?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipMzro4WEueNQnu5DfXNIcInmaDTs0_i7k1eIxlA=w122-h92-k-no,
Maharashtra,Ratnagiri,Ratnagiri,Sea Vista,4,Holiday home,"5799+MX9, Rahataghar, Ganpatipule, Maharashtra 415615","17.169141361381545, 73.26998089749478",-,https://www.google.com/maps/place/Sea+Vista/data=!4m5!3m4!1s0x3bea1ab60d488e2b:0x566ce8a11c816371!8m2!3d17.169167!4d73.2699809?authuser=0&hl=en&rclk=1,https://lh5.googleusercontent.com/p/AF1QipPohT8Kj_KaeGNGijSFWUP-cgPsZ9p33VfROFUl=w122-h92-k-no,
